DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
372   0.39935749675235355 0.19978967101933839 0.30103557659571023
373   0.39936853037918857 0.19978872673500261 0.3010027300294485
374   0.39937929428023849 0.1997878376761261 0.30097073600991281
375   0.39939170452152534 0.19978844794917697 0.30093959190986691
376   0.39942169253395837 0.1998042465397262 0.30090948183038924
377   0.39943492758905152 0.19980677632129007 0.30088039542371603
378   0.39944518026767739 0.19980703103112643 0.30085211191161632
379   0.39945499852275185 0.19980696801943329 0.30082457951853647
380   0.39946506261856968 0.19980723112550303 0.30079778033446436
381   0.39949030790888146 0.1998206395235772 0.30077186151769586
382   0.39950043047498035 0.19982204470957898 0.30074680780299362
383   0.39950816676657097 0.19982161655827488 0.30072242412292322
384   0.39951651070804367 0.19982175728716534 0.30069867844633663
385   0.39952449331510453 0.19982163263227018 0.30067555941297336
386   0.39953337414966944 0.19982233844822311 0.30065305918560037
387   0.39955488273282769 0.19983395630683951 0.30063130682689732
388   0.39956424261246365 0.19983593259877128 0.30061029355815772
389   0.3995716610481177 0.19983641591500098 0.30058986147418865
390   0.39957957451042553 0.19983736151171055 0.30056998370447352
391   0.39958717534808813 0.19983806674286031 0.30055064997382935
392   0.39959676775596714 0.19984036298751873 0.30053186522821684
393   0.39961708553226549 0.19985201157567362 0.30051375083602377
394   0.39962533601485445 0.19985407098335609 0.3004962811876235
395   0.39963164214282726 0.19985462406423035 0.3004793011953214
396   0.39963836703448918 0.19985556568872723 0.30046278511876923
397   0.39964483070746093 0.19985630407582999 0.30044672438742454
398   0.39965318811497585 0.19985853239803572 0.30043112531506327
399   0.39967060137807925 0.19986866166120468 0.30041609243668399
400   0.3996777513438346 0.19987063364330621 0.30040160339313587
401   0.39968325292860057 0.19987132573032521 0.30038752643620736
402   0.39968913929437327 0.19987236822958732 0.30037384008911827
403   0.39969480582628597 0.19987323650894828 0.30036053743124308
404   0.3997024725944518 0.19987565239963515 0.30034762771380324
405   0.39971771578833271 0.19988470055449606 0.3003352023643362
406   0.39972396768022755 0.19988660191262211 0.30032323844954451
407   0.39972873657257169 0.19988734814140144 0.30031162049055615
408   0.39973380941567649 0.19988837029870357 0.30030032924525646
409   0.39973869857135585 0.19988924512971284 0.30028935872315921
410   0.39974554163122139 0.19989162033568386 0.30027871941511947
411   0.39975878045580282 0.19989960532122816 0.30026849113342602
412   0.39976416081242278 0.19990133958126047 0.30025865178556976
