DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
288 [  3.48847807e-05] [  3.12946983e-05] [  3.48847807e-05]
289 [  3.40705570e-05] [  3.06219258e-05] [  3.40705570e-05]
290 [  3.59496373e-05] [  3.22162615e-05] [  3.59496373e-05]
291 [  3.44227286e-05] [  3.09927851e-05] [  3.44227286e-05]
292 [  3.45040563e-05] [  3.10656190e-05] [  3.45040563e-05]
293 [  3.45651909e-05] [  3.11227852e-05] [  3.45651909e-05]
294 [  3.46158817e-05] [  3.11719435e-05] [  3.46158817e-05]
295 [  3.46568827e-05] [  3.12134957e-05] [  3.46568827e-05]
296 [  3.46920378e-05] [  3.12504726e-05] [  3.46920378e-05]
297 [  3.47224362e-05] [  3.12837065e-05] [  3.47224362e-05]
298 [  3.47478017e-05] [  3.13128822e-05] [  3.47478017e-05]
299 [  3.47691593e-05] [  3.13387523e-05] [  3.47691593e-05]
300 [  3.47884820e-05] [  3.13629144e-05] [  3.47884820e-05]
301 [  3.48053628e-05] [  3.13850143e-05] [  3.48053628e-05]
302 [  3.48192008e-05] [  3.14044922e-05] [  3.48192008e-05]
303 [  3.48327048e-05] [  3.14235817e-05] [  3.48327048e-05]
304 [  3.48434909e-05] [  3.14402838e-05] [  3.48434909e-05]
305 [  3.48538367e-05] [  3.14564591e-05] [  3.48538367e-05]
306 [  3.48634608e-05] [  3.14718918e-05] [  3.48634608e-05]
307 [  3.48713631e-05] [  3.14857276e-05] [  3.48713631e-05]
308 [  3.48784767e-05] [  3.14987080e-05] [  3.48784767e-05]
309 [  3.48864924e-05] [  3.15122745e-05] [  3.48864924e-05]
310 [  3.48921115e-05] [  3.15236767e-05] [  3.48921115e-05]
311 [  3.48981643e-05] [  3.15352382e-05] [  3.48981643e-05]
312 [  3.49042140e-05] [  3.15466329e-05] [  3.49042140e-05]
313 [  3.49086637e-05] [  3.15565130e-05] [  3.49086637e-05]
314 [  3.49140104e-05] [  3.15669539e-05] [  3.49140104e-05]
315 [  3.49187542e-05] [  3.15767382e-05] [  3.49187542e-05]
316 [  3.49228972e-05] [  3.15858541e-05] [  3.49228972e-05]
317 [  3.49265333e-05] [  3.15943646e-05] [  3.49265333e-05]
318 [  3.49303396e-05] [  3.16028366e-05] [  3.49303396e-05]
319 [  3.49340524e-05] [  3.16110672e-05] [  3.49340524e-05]
320 [  3.50534519e-05] [  3.17033424e-05] [  3.50534519e-05]
321 [  3.47474193e-05] [  3.14543284e-05] [  3.47474193e-05]
322 [  3.53977067e-05] [  3.20095530e-05] [  3.53977067e-05]
323 [  3.49641146e-05] [  3.16714929e-05] [  3.49641146e-05]
324 [  3.48367862e-05] [  3.15729419e-05] [  3.48367862e-05]
325 [  3.47011504e-05] [  3.14588822e-05] [  3.47011504e-05]
